ID,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation,ImageURL,Category
Ch4_Q26,A 10-year-old girl presents with a painful scoliosis. Radiographs showed a 35° right thoracic scoliosis with a radiolucent nidus 1 cm at the apex of the curve. Which of the following is incorrect regarding this spinal lesion?,Pain is usually due to prostaglandin found in the nidus,CT scan is the investigation of choice to identify the nidus,Bone scan is always hot with intense uptake,Medical management with non-steroidal anti-inflammatory drugs (NSAIDs) is a satisfactory treatment modality in this case,The natural history of this condition is that of spontaneous resolution,D,This describes an osteoid osteoma. Medical management with NSAIDs is not satisfactory in this case as the scoliosis is significant at 35°. The natural history is that of spontaneous resolution but surgery is indicated for painful scoliosis >35°. CT-guided radiofrequency ablation therapy is the treatment of choice.,,Spine
Ch4_Q27,A 50-year-old man presents with difficulty mobilizing and clumsiness buttoning his shirt. He had a fixed cervical kyphosis of 15°. An MRI scan showed a central disc herniation at C5-C6 with signal changes within the cord. What is the next appropriate management step?,Observation,Posterior decompression,Posterior decompression and fusion,Anterior cervical decompression and fusion,Posterior osteotomy to correct the kyphosis followed by posterior fusion,D,The patient has cervical myelopathy with cord signal changes. Observation is inappropriate. Posterior procedures are ineffective in this case as the anterior compression on the cord will remain. The anterior approach provides direct access to the disc herniation and provides immediate and long-term stability to the motion segment.,,Spine
Ch4_Q28,Which of the following is incorrect regarding the anterolateral approach (Smith-Robinson) to the cervical spine?,The platysma and external jugular vein are the only structures superficial to the superficial fascia,The superior and inferior thyroid vessels run from the carotid sheath through the pretracheal fascia to the midline,The sympathetic chain lies on the longus colli muscle lateral to the vertebral body,Recurrent laryngeal nerve injury risk is lower at the lower C-spine levels C6-C7,Dysphagia occurs more commonly at the upper C-spine levels C3-C4,D,The injury risk of the recurrent laryngeal nerve is higher at the lower C-spine C6-C7 as it initially descends into the thorax within the carotid sheath then it curves around the aortic arch and ascends back into the neck running between the trachea and oesophagus to supply the larynx.,,Spine
Ch4_Q29,All of the following are true regarding atlantoaxial rotatory instability except?,It is a common cause of childhood torticollis,It is associated with Down syndrome,It can occur secondary to Grisels syndrome,A type II rotator subluxation indicates an insufficiency of the transverse and alar ligaments,In a type III rotatory subluxation both joints are anteriorly subluxed with an atlantodens interval of 5 mm,D,Atlantoaxial rotatory instability is present in 25% of children with Down syndrome. In type I the odontoid acts as a pivot point and there is no anterior subluxation. In type II one facet acts as a pivot with an ADI 3-5 mm. The transverse ligament is insufficient. In type III the alar and transverse ligaments are incompetent resulting in bilateral facet subluxation with an ADI >5 mm.,,Spine
Ch4_Q30,The central cord syndrome is due to?,A fall on a flexed neck,Hyperextension injury on a background of a herniated disc,A hyperextension injury in a patient with a facet joint hypertrophy and thickened ligamentum flavum,An anterior spinal artery lesion,Vitamin B12 deficiency,C,Central cord syndrome is the most common incomplete spinal cord lesion. It is usually seen in patients with cervical spondylosis who sustain a hyperextension injury. The mechanism causes compression of the cord by osteophytes anteriorly and ligamentum flavum posteriorly.,,Spine
Ch5_Q1,If surgery for intracapsular fracture fixation is not carried out within 12 hours avascular necrosis AVN and non-union rates are affected in this way?,No difference between AVN and non-union rates,AVN higher no change in non-union,No change in AVN non-union higher,AVN and non-union both higher,AVN higher but non-union lower,A,Although it is common to treat these fractures with some urgency a meta-analysis of 18 studies 564 fractures showed no difference in these rates if surgery is carried out before or after 12 hours. A further study has shown no difference before or after 48 hours.,,Hip and Pelvis
Ch5_Q2,Injury to which artery is most likely to cause uncontrollable bleeding during the posterior approach to the hip?,Inferior gluteal,Superior gluteal,Pudendal,Ascending branch of lateral circumflex femoral,Popliteal,A,The inferior gluteal artery may retract into the pelvis requiring the patient to be positioned supine and urgent laparotomy to tie off the internal iliac artery.,,Hip and Pelvis
Ch5_Q3,With regard to closed suction drains used in surgery which of the following is true?,Wound infection is higher with use of drains,Haematoma formation is lower with use of drains,Wound dehiscence is more likely without the use of drains,Blood transfusion is more likely with the use of drains,Bruising is more likely with the use of drains,D,In a Cochrane review of 36 studies 5697 surgical wounds no statistically significant difference was found in infection haematoma dehiscence or re-operation between patients with or without suction drains. Those with drains had higher transfusion rate but lower wound dressing reinforcement and bruising.,,Hip and Pelvis
Ch5_Q4,What is the predominant source of femoral head perfusion?,Lateral circumflex artery,Obturator artery,Medial circumflex artery,Descending branch of lateral circumflex artery,Superior gluteal artery,C,The medial circumflex artery is a branch of the profunda femoris originating from the external iliac. The blood supply is via subsynovial retinacular artery. The remainder is supplied by the artery of ligamentum teres obturator artery and lateral circumflex artery profunda femoris.,,Hip and Pelvis
Ch5_Q5,The main internal rotators of the hip are?,Gluteus minimus and tensor fascia lata,Obturator internus superior and inferior gemelli,Iliopsoas,Piriformis and quadratus femoris,Piriformis and gluteus medius,A,Gluteus minimus inserts anteriorly on the tip of greater trochanter. Tensor fascia lata originates from iliac crest and ASIS and via attachment to iliotibial band acts as internal rotator abductor and flexor of hip.,,Hip and Pelvis
Ch5_Q6,In Judet views of the pelvis the right obturator oblique view shows?,Pubic symphysis in the centre of the obturator foramen,Posterior wall and anterior column of the right acetabulum,Anterior wall and posterior column of the right acetabulum,The right obturator foramen perpendicular to the plane of the X-ray cassette,The sacroiliac joint on the right side even if a c-clamp is applied,B,Obturator oblique where obturator foramen is parallel to X-ray cassette shows posterior wall and anterior column of elevated acetabulum. Mnemonic OOPWAC Obturator Oblique Posterior Wall Anterior Column.,,Hip and Pelvis
Ch5_Q7,Core decompression following avascular necrosis AVN of the femoral head is more likely to be successful if the patient has not progressed beyond?,FICAT I,FICAT II,FICAT III,FICAT IV,FICAT V,B,As long as femoral head is in pre-collapse phase and has minimal involvement 30% ideally core decompression is likely to be beneficial. Once collapse crescent sign FICAT III has appeared salvage is not possible in this way.,,Hip and Pelvis
Ch5_Q8,In which situation following deep infection of a total hip replacement could single-stage revision be considered?,The erythrocyte sedimentation rate ESR and C-reactive protein CRP are not raised,It is less than 6 months since primary surgery,There is a known organism from preoperative aspirate and the patient has commenced antibiotics,The organism is seen and identified via fresh frozen specimen sent during surgery and the patient is commenced on antibiotics,The infected implants were cemented with antibiotic-loaded cement,C,Selected patients may undergo single-stage revision with better functional outcome. Prerequisites are healthy soft tissues minimal bone loss allowing cement insertion and known pathogen with sensitivities. Severe bone loss unidentified pathogen and multi-resistant bacteria are contraindications.,,Hip and Pelvis
Ch5_Q9,In planning total hip replacement for a patient with Pagets disease which of the following is not an expected finding?,Acetabular protrusion,Higher than usual blood loss,Harder than usual bone,Valgus deformity of femoral neck,High cardiac output,D,All are seen except valgus deformity. Typically varus deformity is seen due to initially osteoporotic change causing deformity under loading before remodelling. Also responsible for anterolateral diaphyseal bowing.,,Hip and Pelvis
Ch5_Q10,The following are known causes of sciatic nerve dysfunction following total hip replacement except?,Post-operative haematoma e.g. subgluteal around the sciatic nerve,Limb lengthening over 5 cm,Direct laceration during surgery,Tissue trauma during surgery from retractors,Pressure from straps of abduction wedge pillow,E,Straps from abduction wedge pillow may cause pressure to common peroneal nerve not sciatic nerve at fibular neck level resulting in foot drop. Most commonly injured part of sciatic nerve is region which becomes common peroneal nerve.,,Hip and Pelvis
Ch5_Q11,Which of the following is true regarding labral tears of the acetabulum?,They are frequently caused by femoral head osteophytes,They result in lack of external rotation of the hip during normal gait,They predispose to early osteoarthritic change,They are associated with degenerate changes and cysts when due to femoro-acetabular impingement,They are most commonly seen after posterior hip dislocation,D,Labral tears are often associated with subtle abnormalities of hip anatomy causing femoro-acetabular impingement FAI. Labral tears may present as groin pain usually in certain positions and repetitive movements.,,Hip and Pelvis
Ch5_Q12,For infection following total hip replacement wound washout and exchange of accessible components is acceptable management if?,Infection is within 3 weeks of surgery,Known organism is cultured from hip aspirate,Patient cannot tolerate general anaesthetic,Ceramic head and liner in situ,Infection greater than 12 but less than 36 months from surgery,A,Phillips et al found 41% of infections were successfully treated with debridement and antibiotics. Crockarell et al found debridement successful only if performed within 2 weeks of onset of symptoms.,,Hip and Pelvis
Ch5_Q13,Which of the following is not one of the trabecular patterns in the proximal femur?,Greater trochanter group,Lesser trochanter group,Principle compressive group,Secondary compressive group,Principle tensile group,B,There are four main trabecular patterns in proximal femur. Two compressive one tensile and one greater trochanteric group but none relating specifically to lesser trochanter.,,Hip and Pelvis
Ch5_Q14,What is meralgia paraesthetica due to?,Compression of the obturator nerve at the obturator foramen,Haematoma around part of the sciatic nerve,Compression of the lateral cutaneous nerve of thigh,Compression of the femoral nerve e.g. by a weightlifters belt,Diabetes,C,The lateral cutaneous nerve of thigh may be compressed at several locations such as inguinal ligament by tight belts resulting in pain in anterolateral part of thigh.,,Hip and Pelvis
Ch5_Q15,Which of the following is the greatest risk factor for heterotopic ossification following elective total hip replacement?,Previous formation of heterotopic ossification,Hypercalcaemia,Male,Head injury within the previous 48 hours,Inflamed greater trochanteric bursa,A,If history of heterotopic ossification then very likely to recur at new surgery site. Other factors include ankylosing spondylitis hypertrophic osteoarthritis and diffuse idiopathic skeletal hyperostosis.,,Hip and Pelvis
Ch5_Q16,A patient is to have primary total hip replacement and takes methotrexate for rheumatoid arthritis. Methotrexate should be?,Stopped 24 hours before surgery,Stopped 1 week before surgery,Reduced to half the dose but not stopped,Continued as usual,Gradually reduced to stop 24 hours before surgery and then restarted 2 weeks following surgery,D,Although higher infection rate in rheumatoid patients continuing methotrexate at normal dose has not been shown to affect infection risk. Grennan et al found methotrexate made no difference to early infection following elective orthopaedic surgery.,,Hip and Pelvis
Ch5_Q17,A 72-year-old patient is suspected to have an infected total hip replacement rather than aseptic loosening 8 years following surgery. Which of the following would be most reliable to differentiate?,Radio-labelled white cell scan,Radionuclide bone scan,Plain X-ray,Hip aspiration,Ultrasound scan of the hip joint,D,Although radio-labelled white cell scan is more likely positive in infection it cannot definitively differentiate. Positive hip aspirate would identify infection and guide antibiotic treatment.,,Hip and Pelvis
Ch5_Q18,Which of the following is true regarding impaction grafting for revision total hip replacement with femoral bone loss?,It is best with a polished tapered stem,It should subside less than 2mm in the first year in order to predict successful outcome,If subsiding more than 2 mm after the first year it should be considered for early revision,It is designed for use with uncemented stems,It is associated with significantly higher rate of deep infection due to large amount of allograft,A,Polished tapered stems such as Exeter stem are best suited to impaction grafting as subsidence is expected. This allows subsidence in cement mantle and subject cement to creep thereby distributing load evenly.,,Hip and Pelvis
Ch5_Q19,What is the effect of repairing the posterior capsule in the posterior approach for total hip replacement?,Reduce dislocation by 20%,Reduce dislocation by a magnitude of 10,Reduce dislocation by 100%,No effect on dislocation rate,No longer recommended for posterior approach to the hip,B,Although many studies most conclude beneficial effect of repairing posterior soft tissue structures. Meta-analysis by Kwon et al found dislocation rate reduced from 4.46% to 0.49% if repaired.,,Hip and Pelvis
Ch5_Q20,Which of the following is the most important prognostic indicator for the success of a hydroxyapatite HA-coated stem?,Pore size,Coating of at least 50% of the stem,Pore density,Pore depth,Thickness of HA of at least 50 mm,E,In canine model shown greater total bone apposition and bone ingrowth in implants coated with minimum 50 mm hydroxyapatite at level of isthmus and calcar.,,Hip and Pelvis
Ch5_Q21,A 27-year-old patient presents with groin pain and clicking. He has history of mild developmental dysplasia of the hip DDH as a child. Most likely finding on plain radiograph?,Acetabular osteophyte,Acetabular cyst,Femoral head subarticular cysts,Femoral headneck junction prominence,Femoral neck stress fracture,D,Patient likely suffering from cam-type femoro-acetabular impingement often presenting secondary to DDH Perthes or slipped upper femoral epiphysis with head neck junction prominence that may also lead to labral degeneration cysts and tear.,,Hip and Pelvis
Ch5_Q22,A 74-year-old patient has developed degenerate change in her hip requiring total hip replacement. She previously had pertrochanteric femoral fracture fixed with dynamic hip screw device. What is correct surgical management?,Do not perform total hip replacement due to poor outcome,Remove metalwork use strut allograft and cable plate to reinforce femur then use fully coated uncemented stem,Remove sliding screw only and perform hip resurfacing to prevent risk of diaphyseal fracture,Remove metalwork use strut allograft and cable plate to reinforce femur then use cemented stem,Remove metalwork insert cemented stem passing two cortical thicknesses below lowest screw hole,E,No need to reinforce femur externally. Well-cemented stem must pass well past lowest screw hole to reduce risk of stress riser.,,Hip and Pelvis
Ch5_Q23,Following total hip replacement deep infection is?,Less in ceramic than polyethylene cups,The same for ceramic and polyethylene cups,More in ceramic than polyethylene cups,More with the anterior approach,More with the posterior approach,A,Swedish Hip Registry reports deep infections slightly lower with ceramic components. Exact mechanism unclear but may be due to bacterial adhesion being poorer on smoother surface of ceramic components.,,Hip and Pelvis
Ch5_Q24,Which of the following is true of the centre-edge angle of Wiberg?,It is only useful until the age of 12 months,If greater than 15° it is normal,It is the angle made between Hilgenreiners line and the roof of the acetabulum,If less than 15° it is one of the indications for pelvic osteotomy,It cannot be measured once the triradiate cartilage has ossified,D,Angle between vertical line through centre of femoral head and line connecting centre of femoral head to edge of acetabulum used in patients over age 5. Greater than 25° is normal less than 20° is dysplastic acetabulum. Less than 15° is marked dysplasia may benefit from acetabular osteotomy.,,Hip and Pelvis
Ch5_Q25,A 40-year-old patient is developing avascular necrosis of the femoral head. The contour is normal i.e. no collapse although structural changes are evident on MRI. What is the preferred treatment?,Hip resurfacing arthroplasty,Non-vascularized fibular graft,Low dose steroid for 18 weeks,Core decompression,Vascularized fibular graft,E,As long as no collapse of femoral head vascularized fibular graft has been shown superior to non-vascularized by reducing progression to collapse and having better Harris Hip Scores.,,Hip and Pelvis
Ch5_Q26,Which nerve is at risk during the ilio-inguinal approach to the pelvis and often needs to be divided?,Anterior cutaneous branch of femoral nerve,Posterior branch of obturator nerve,Lateral cutaneous nerve of thigh,Anterior branch of obturator nerve,Cutaneous branch of obturator nerve,C,The ilio-inguinal approach affords exposure to inner aspect of pelvis from sacroiliac joint to pubic symphysis. Lateral cutaneous nerve of thigh often in way and must be sacrificed.,,Hip and Pelvis
Ch5_Q27,What type of lubrication is found in hard-on-hard total hip replacements at the point when the two articulating surfaces are not in contact?,Boundary,Boosted,Squeeze film,Elastohydrodynamic,Hydrodynamic,E,Although majority of lubrication in total hip replacements is boundary lubrication hard-on-hard bearing surfaces such as metal-on-metal have been found to have hydrodynamic lubrication during motion phase of gait cycle.,,Hip and Pelvis
Ch5_Q28,When cementing a femoral stem what is thought to be most likely cause for severe hypotension related to bone cement implantation syndrome BCIS?,Anaphylaxis to polymethylmethacrylate PMMA molecules,Multiple emboli,Exothermic effect of cement temperature,Metabolites of the monomer entering the circulation causing vasodilatation,Large surface area in femoral medullary cavity to absorb methylmethacrylate monomer as opposed to small area in acetabulum,B,Current thinking on aetiology leans towards multiple embolic showers of fat marrow cement particles air bone particles and platelet fibrin aggregate.,,Hip and Pelvis
Ch5_Q29,In the posterior thigh the sciatic nerve lies between which two muscles?,Gluteus maximus and biceps femoris,Gluteus maximus and piriformis,Gluteus maximus and adductor magnus,Superior gemellus and obturator internus,Superior gemellus and inferior gemellus,C,Sciatic nerve passes through interval between piriformis and superior gemellus to lie under gluteus maximus and passes over gemelli obturator internus and quadratus femoris before passing over posterior surface of adductor magnus.,,Hip and Pelvis
Ch5_Q30,Which type of pelvic injury is most likely to result in urethral bladder injury?,Vertical shear 2 cm,Lateral compression,Bilateral obturator ring fractures,Anterior pelvic arch displaced 1 cm,Inwardly displaced parasymphyseal fracture 1 cm,E,Single biggest predictor of urethral injury is pubic symphysis diastasis especially of 1 cm along with medially displaced medial fracture. Traction caused to urethra is more significant than compression.,,Hip and Pelvis
Ch6_Q1,After cementing in a total knee replacement for a valgus knee you find that it remains tight laterally in extension. The next most appropriate step is to?,Carry out a medial release,Carry out a medial release and increase the size of the polyethylene insert,Release the iliotibial band,Release popliteus,Decrease the size of the polyethylene insert,C,In this situation it is most appropriate to release the iliotibial band. In general soft tissue releases address coronal imbalance and implant changes address flexion-extension imbalance. For valgus deformity/tightness it is normal to release sequentially as follows: osteophytes lateral capsule iliotibial band if tight in extension popliteus if tight in flexion lateral collateral ligament.,,Knee
Ch6_Q2,Which of the following statements regarding anterior cruciate ligament (ACL) grafts is false?,The maximum load to failure of a patellar tendon graft is approximately 2600 newtons,The use of an autologous hamstring graft results in a 50% loss of hamstring strength,The maximum load to failure of a quadruple hamstring graft is approximately 4500 newtons,Allograft processing does not always alter the mechanical properties of the graft,The maximum load to failure of the native ACL is approximately 2100 newtons,B,Harvesting autologous hamstrings usually only results in a 10% approximately reduction in hamstring strength not 50%. In-vitro and cadaveric experiments have identified the approximate ultimate loads of native ACL patellar tendon grafts and quadruple hamstring grafts to be 2100 2600 and 4500 newtons respectively.,,Knee
Ch6_Q3,Which of the following is considered to be the primary stabilizer of knee to external rotation?,Anterior cruciate ligament (ACL),Posterior cruciate ligament (PCL),Lateral collateral ligament (LCL),Medial collateral ligament (MCL),Patellar tendon,C,The knee consists of both primary and secondary stabilizers or restraint to movement. The LCL is the primary stabilizer to external rotation.,,Knee
Ch6_Q4,A 34-year-old man presents with a 3 month history of knee pain with an inability to squat. The most likely diagnosis is?,Primary osteoarthritis,Osteochondral defect,Loose body,Posterior horn meniscal tear,Pigmented villonodular synovitis,D,A posterior horn meniscal tear is the most likely diagnosis in a 34-year-old with inability to squat.,,Knee
Ch6_Q5,During trialling of a total knee replacement the knee is tight in extension but correct in flexion. The appropriate step is to?,Decrease the size of the polyethylene insert,Resect more distal femur,Decrease the size of the femoral component,Resect more proximal tibia,Resurface the patella to balance the difference,D,When tight in extension but correct in flexion more proximal tibia should be resected.,,Knee
Ch6_Q6,Which of the following mechanisms best describes the common cause of failure of the polyethylene in a total knee replacement?,Adhesive wear,Two-body abrasive wear,Fatigue wear,Third-body abrasive wear,Corrosive wear,C,Fatigue wear is the most common mechanism of polyethylene failure in total knee replacement.,,Knee
Ch6_Q7,Which of the following is incorrect regarding the native anterior cruciate ligament (ACL)?,It has an anteromedial bundle which is tight in flexion,Its length typically ranges from 25 to 41 mm,Its primary role is proprioceptive,It has a posterolateral bundle which is tight in extension,It is supplied by the middle genicular artery,C,The primary role of the ACL is mechanical stabilization not proprioceptive. It prevents anterior translation of the tibia on the femur.,,Knee
Ch6_Q8,Which of the following is false regarding the normal anatomy of the knee?,The patellofemoral ligament is part of layer 2 of the lateral structures of the knee,The meniscofemoral ligament of Humphrey lies anterior to the ligament of Wrisberg,The posteromedial bundle of the posterior cruciate ligament is tight in extension,The superficial medial collateral ligament is part of layer 1 of the medial structures of the knee,The peripheral portion of the menisci is supplied by the medial and lateral genicular arteries,C,The anterolateral bundle of the posterior cruciate ligament is tight in extension not the posteromedial bundle. The posteromedial bundle is tight in flexion.,,Knee
Ch6_Q9,Which of the following should be avoided during total knee arthroplasty to avoid lateral patellar subluxation?,Internal rotation of the tibial component,External rotation of the femoral component,Lateral placement of the tibial component,Lateral placement of the femoral component,Medial placement of the patellar component,A,Internal rotation of the tibial component should be avoided as it increases the risk of lateral patellar subluxation.,,Knee
Ch6_Q10,Which of the following would not be advisable in the treatment of a 45-year-old man with isolated medial compartment osteoarthritis of the knee?,Non-steroidal anti-inflammatory drugs,Medial unicompartmental knee replacement,Autologous chondrocyte implantation,Opening wedge high tibial osteotomy,Closing wedge high tibial osteotomy,C,Autologous chondrocyte implantation would not be advisable for established osteoarthritis. It is used for localized chondral defects in younger patients not for established osteoarthritis.,,Knee
Ch6_Q11,A 72-year-old who underwent a total knee replacement 6 weeks ago presents with increasing knee pain and swelling with raised inflammatory markers. An aspiration of the joint cultures coagulase-negative staphylococcus. The next most appropriate step in management is?,Single-stage revision plus intravenous antibiotics,Two-stage revision with cement spacer plus intravenous antibiotics,Intravenous antibiotics,Open washout/debridement polyethylene exchange and intravenous antibiotics,Arthroscopic washout/debridement and intravenous antibiotics,D,At 6 weeks post-operatively with a confirmed infection the most appropriate management is open washout/debridement polyethylene exchange and intravenous antibiotics if performed early enough.,,Knee
Ch6_Q12,Regarding total knee replacement which of the following is incorrect?,The joint line can be safely lowered 4 mm without an adverse effect on motion and joint instability,The minimum recommended thickness of an ultra-high-molecular-weight polyethylene insert is 6-8 mm,A deficient extensor mechanism is a relative contraindication to a total knee replacement,There is a poorer implant survivorship in patients with rheumatoid arthritis,Following previous patellectomy a posterior cruciate ligament-substituting implant is preferred,D,There is not poorer implant survivorship in patients with rheumatoid arthritis. All other statements are correct.,,Knee
Ch6_Q13,The following situations preclude the use of a high tibial osteotomy for the treatment of medial compartment osteoarthritis except?,Lateral tibial subluxation,Lateral compartment osteoarthritis,Previous subtotal lateral menisectomy,Deficient anterior cruciate ligament,Inflammatory arthropathy,C,Previous subtotal lateral menisectomy does not preclude high tibial osteotomy. All the other options are contraindications.,,Knee
Ch6_Q14,A 71-year-old patient presents with increasing knee pain 6 weeks after having a total knee replacement. Which of the following would be most reliable in the diagnosis of infection?,Erythrocyte sedimentation rate,C-reactive protein,Microscopy and culture of joint aspirate,Triple phase isotope bone scan,Magnetic resonance imaging,C,The definitive test in this situation is analysis of a joint aspiration with microscopy and culture.,,Knee
Ch6_Q15,The following are all considered predisposing factors for patellofemoral disorders except?,Femoral anteversion,Lateral patella tilt,Patella baja,Reduced trochlea sulcus,Lateral tibial tuberosity,C,Patella baja is not a predisposing factor for patellofemoral disorders. Patella alta not baja is a predisposing factor.,,Knee
Ch6_Q16,Which of the following statements regarding anterior cruciate ligament (ACL) reconstruction is true?,The femoral tunnel should be in the 1 oclock position in the right knee,On the lateral radiograph the femoral tunnel should be on the anterior half of Blumensaats line,On the femoral side interference screw fixation has been shown to be superior to suspensory type fixation,During hamstring harvesting the connection between the semitendinosus and the medial gastrocnemius must be divided,Hamstring and patellar tendon grafts have an equal tensile strength,D,During hamstring harvesting the connection between the semitendinosus and the medial gastrocnemius must be divided.,,Knee
Ch6_Q17,Which of the following is not true of the menisci?,The lateral meniscus is more mobile than the medial meniscus,A discoid meniscus is more common in the lateral meniscus,The collagen content is predominantly type 1,Their primary role is to provide anteroposterior stability to the knee,In the developing fetus the menisci appear by day 45,D,The primary role of the menisci is load distribution and shock absorption not anteroposterior stability.,,Knee
Ch6_Q18,An 81-year-old lady is reviewed 6 months after a total knee replacement. Her only complaint is some numbness on the outer aspect of her midline scar. The most likely cause of this is?,Injury to the femoral nerve from the tourniquet,Division of the lateral femoral cutaneous nerve,Injury to the anterior femoral cutaneous nerve from the tourniquet,Division of the infrapatellar branch of the saphenous nerve,Injury to the lateral femoral cutaneous nerve from the tourniquet,D,Division of the infrapatellar branch of the saphenous nerve is the most common cause of numbness lateral to the scar after knee replacement.,,Knee
Ch6_Q19,A 62-year-old man presents with a painful snapping sensation when extending his knee 6 months after a posterior stabilized total knee replacement. The most appropriate treatment is?,Bracing,Topical anti-inflammatory gels,Revision of patellar component,Arthroscopic or open debridement,Revision of femoral component,D,This describes patellar clunk syndrome which is treated with arthroscopic or open debridement of the fibrous nodule.,,Knee
Ch6_Q20,Which of the following is not true of unicompartmental knee replacements?,Inflammatory arthropathy is a contraindication to unicompartmental knee replacement,Unicompartmental knee replacements have not been shown to produce better subjective results than total knee replacements,Patients over 80 years should not have a unicompartmental knee replacement,A varus deformity of 10° is not a contraindication to unicompartmental knee replacement,In an anterior cruciate ligament deficient knee it is reasonable to simultaneously reconstruct the ligament and perform a unicompartmental knee replacement,C,Age over 80 is not a contraindication to unicompartmental knee replacement. All other statements are correct.,,Knee
Ch6_Q21,Which of the following statements is true regarding mobile-bearing total knee replacements in comparison to fixed-bearing total knee replacements?,There is a reduction in the amount of volumetric wear,They result in a better post-operative range of motion,They result in better post-operative patient-reported outcome scores,They do not have a better survivorship,They should only be used in patients under 70 years of age,D,Mobile-bearing total knee replacements do not have better survivorship compared to fixed-bearing designs. They do not show significant advantages in wear range of motion or outcome scores.,,Knee
Ch6_Q22,A 58-year-old man is listed for a total knee replacement. He underwent a closing wedge high tibial osteotomy 10 years prior. The most likely problem one would encounter during the total knee replacement is?,Difficult surgical exposure,Lateral ligament laxity,Difficult tibial stem placement,Non-union of the osteotomy,Patella baja,E,Patella baja is the most common problem encountered following high tibial osteotomy making subsequent total knee replacement technically challenging.,,Knee
Ch6_Q23,Which of the following is true regarding meniscal repair?,Simultaneous reconstruction of a deficient anterior cruciate ligament has no influence on the success of meniscal repair,Capsule exposure for an inside-out lateral meniscal repair is performed through the iliotibial band and biceps tendon interval followed by retraction of the lateral head of the gastrocnemius anteriorly,Degenerative meniscal tears are a relative contraindication to repair,Saphenous nerve injury is more common with an all-inside technique compared to an inside-out technique for medial meniscus repair,Capsule exposure for an inside-out lateral meniscal repair is performed through the lateral head of the gastrocnemius and biceps tendon interval followed by retraction of the biceps tendon anteriorly,C,Degenerative meniscal tears are a relative contraindication to repair as they have poorer healing potential.,,Knee
Ch6_Q24,The surgical approach for the posterior cruciate ligament insertion site during an open inlay technique is?,A posteromedial approach between medial gastrocnemius and semimembranosus,A posteromedial approach between medial gastrocnemius and semitendinosus,A posteromedial approach between semimembranosus and semitendinosus,A posteromedial approach between splitting medial gastrocnemius,A posteromedial approach between splitting semimembranosus,A,The posteromedial approach is between medial gastrocnemius and semimembranosus for PCL inlay technique.,,Knee
Ch6_Q25,Which of the following is true regarding knee injury in sports?,Neuromuscular training explains the greater incidence of anterior cruciate ligament injuries in men compared to women in similar sports,A grade 3 posterior cruciate ligament injury requires reconstruction,Prophylactic knee bracing in contact sports reduces the incidence of anterior cruciate ligament injuries,An injury with external tibial rotation with the knee at 90° of flexion is likely to injure the posterior cruciate and lateral collateral ligaments,There is no gender difference in total varus or valgus knee loading during landing from a jump,D,An injury with external tibial rotation with the knee at 90° of flexion is likely to injure the posterior cruciate and lateral collateral ligaments.,,Knee
Ch6_Q26,The following is not true of osteochondritis dissecans?,Open growth plates imply a better prognosis,Partial detachment of the lesion corresponds to grade III in the Guhl classification,An 18-year-old would be category II according to the Pappas classification,The condition is more common in males,The condition is more common on the lateral than medial femoral condyle,E,The condition is more common on the medial femoral condyle not lateral. The classic location is the lateral aspect of the medial femoral condyle.,,Knee
Ch6_Q27,A 22-year-old man has an arthroscopy 1 year after microfracture treatment for a full-thickness chondral defect. The defect has filled and a biopsy is taken. This is most likely to show?,Hyaline cartilage,Fibrocartilage,Cancellous bone,Cortical bone,Elastin,B,Microfracture results in fibrocartilage fill not hyaline cartilage. This is type I collagen rather than the type II collagen of hyaline cartilage.,,Knee
Ch6_Q28,The blood supply to the anterior cruciate ligament is?,The medial superior genicular artery,The lateral superior genicular artery,The middle genicular artery,The lateral inferior genicular artery,The medial inferior genicular artery,C,The middle genicular artery supplies the anterior cruciate ligament.,,Knee
Ch6_Q29,Which statement is incorrect regarding tunnel placement during anterior cruciate ligament reconstruction?,A femoral tunnel place at the roof of the notch would result in decreased rotational stability,The posterior cruciate ligament can serve as a reference for tibial tunnel positioning,The posterior border of the anterior horn of the lateral meniscus can serve as a reference for tibial tunnel positioning,An anteriorly placed femoral tunnel can result in decreased flexion post-operatively,Tunnel placement is less important when using synthetic grafts,E,Tunnel placement is equally important regardless of graft type. All grafts require optimal tunnel placement for success.,,Knee
Ch6_Q30,An active 66-year-old man is reviewed 1 year after a total knee replacement. He complains that it does not feel right and clinical examination identifies an incompetent medial collateral ligament. The most appropriate treatment is?,Anti-inflammatory gel and tablets,Hinged knee brace,Open repair of the medial collateral ligament,Reconstruction of the medial collateral ligament,Revision to a constrained knee prosthesis,E,In the setting of an incompetent MCL 1 year post total knee replacement the most appropriate treatment is revision to a constrained knee prosthesis.,,Knee
Ch7_Q1,Which of the following nerves supply the greatest area of sensibility of the foot?,Sural,Saphenous,Tibial,Deep peroneal,Superficial peroneal,C,The tibial nerve supplies nearly all of the sole of the foot through its branches medial calcaneal medial plantar and lateral plantar nerves. The sural nerve supplies the lateral border of the foot and the saphenous nerve supplies the medial border and medial aspect of the dorsum. The deep peroneal nerve supplies the dorsal aspect of the first web space and the superficial peroneal nerve supplies the rest of the dorsum.,,Foot and Ankle
